agno;mes;RBD;Establecimiento;Codigo;Enseñanza;Nivel;Letra;Porc_de_Asistencia;Matrícula_cierre_mes;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;A;77%;28;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;B;71%;27;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;C;74%;29;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;D;85%;31;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;A;80%;17;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;B;80%;22;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;C;82%;28;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;D;69%;19;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;510;Enseñanza Media Técnico-Profesional Industrial niños;3° medio;A;79%;27;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;510;Enseñanza Media Técnico-Profesional Industrial niños;3° medio;B;77%;25;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;510;Enseñanza Media Técnico-Profesional Industrial niños;3° medio;C;77%;26;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;510;Enseñanza Media Técnico-Profesional Industrial niños;3° medio;D;70%;24;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;510;Enseñanza Media Técnico-Profesional Industrial niños;4° medio;A;83%;18;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;510;Enseñanza Media Técnico-Profesional Industrial niños;4° medio;B;81%;26;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;510;Enseñanza Media Técnico-Profesional Industrial niños;4° medio;C;89%;24;;;;;;
2025;1.Marzo;10545;Liceo Industrial Miguel Aylwin Gajardo;510;Enseñanza Media Técnico-Profesional Industrial niños;4° medio;D;85%;24;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;10;Educación Parvularia;1er nivel de Transición (Prekinder);A;94%;4;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;10;Educación Parvularia;2° nivel de Transición (Kinder);A;88%;4;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;1° básico;A;91%;21;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;2° básico;A;90%;21;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;3° básico;A;93%;36;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;4° básico;A;92%;26;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;4° básico;B;87%;22;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;5° básico;A;87%;28;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;5° básico;B;85%;22;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;6° básico;A;86%;22;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;6° básico;B;85%;21;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;7° básico;A;87%;22;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;7° básico;B;90%;19;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;8° básico;A;88%;27;;;;;;
2025;1.Marzo;10546;Escuela Pilar Moliner De Nuez;110;Enseñanza Básica;8° básico;B;81%;25;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;10;Educación Parvularia;1er nivel de Transición (Prekinder);A;84%;7;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;10;Educación Parvularia;2° nivel de Transición (Kinder);A;80%;5;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;110;Enseñanza Básica;1° básico;A;82%;16;;;;;;
