agno,mes,RBD,%Asistencia,Matrícula,RBD_Establecimiento,Enseñanza,Nivel,Letra
2025,1.Marzo,10546,0.93,36,10546 Escuela Pilar Moliner De Nuez,110,3° Básico,A
2025,1.Marzo,10546,0.92,26,10546 Escuela Pilar Moliner De Nuez,110,4° Básico,A
2025,1.Marzo,10546,0.87,22,10546 Escuela Pilar Moliner De Nuez,110,4° Básico,B
2025,1.Marzo,10546,0.87,28,10546 Escuela Pilar Moliner De Nuez,110,5° Básico,A
2025,1.Marzo,10546,0.85,22,10546 Escuela Pilar Moliner De Nuez,110,5° Básico,B
2025,1.Marzo,10546,0.86,22,10546 Escuela Pilar Moliner De Nuez,110,6° Básico,A
2025,1.Marzo,10546,0.85,21,10546 Escuela Pilar Moliner De Nuez,110,6° Básico,B
2025,1.Marzo,10546,0.87,22,10546 Escuela Pilar Moliner De Nuez,110,7° Básico,A
2025,1.Marzo,10546,0.9,19,10546 Escuela Pilar Moliner De Nuez,110,7° Básico,B
2025,1.Marzo,10546,0.88,27,10546 Escuela Pilar Moliner De Nuez,110,8° Básico,A
2025,1.Marzo,10546,0.81,25,10546 Escuela Pilar Moliner De Nuez,110,8° Básico,B
2025,1.Marzo,10547,0.84,7,10547 Escuela Republica Del Brasil,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10547,0.8,5,10547 Escuela Republica Del Brasil,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10547,0.82,16,10547 Escuela Republica Del Brasil,110,1° Básico,A
2025,1.Marzo,10547,0.82,17,10547 Escuela Republica Del Brasil,110,2° Básico,A
2025,1.Marzo,10547,0.81,10,10547 Escuela Republica Del Brasil,110,3° Básico,A
2025,1.Marzo,10547,0.88,21,10547 Escuela Republica Del Brasil,110,4° Básico,A
2025,1.Marzo,10547,0.9,29,10547 Escuela Republica Del Brasil,110,5° Básico,A
2025,1.Marzo,10547,0.88,22,10547 Escuela Republica Del Brasil,110,6° Básico,A
2025,1.Marzo,10547,0.88,21,10547 Escuela Republica Del Brasil,110,7° Básico,A
2025,1.Marzo,10547,0.88,24,10547 Escuela Republica Del Brasil,110,8° Básico,A
2025,1.Marzo,10548,0.73,17,10548 Escuela Isabel Riquelme,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10548,0.86,9,10548 Escuela Isabel Riquelme,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10548,0.84,14,10548 Escuela Isabel Riquelme,110,1° Básico,A
2025,1.Marzo,10548,0.86,21,10548 Escuela Isabel Riquelme,110,2° Básico,A
2025,1.Marzo,10548,0.88,18,10548 Escuela Isabel Riquelme,110,3° Básico,A
2025,1.Marzo,10548,0.79,19,10548 Escuela Isabel Riquelme,110,4° Básico,A
2025,1.Marzo,10548,0.95,23,10548 Escuela Isabel Riquelme,110,5° Básico,A
2025,1.Marzo,10548,0.92,21,10548 Escuela Isabel Riquelme,110,6° Básico,A
2025,1.Marzo,10548,0.88,24,10548 Escuela Isabel Riquelme,110,7° Básico,A
2025,1.Marzo,10548,0.92,23,10548 Escuela Isabel Riquelme,110,8° Básico,A
2025,1.Marzo,10550,0.94,9,10550 Escuela Libertador General Bernardo O'Higgins,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10550,0.93,18,10550 Escuela Libertador General Bernardo O'Higgins,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10550,0.92,33,10550 Escuela Libertador General Bernardo O'Higgins,110,1° Básico,A
2025,1.Marzo,10550,0.92,32,10550 Escuela Libertador General Bernardo O'Higgins,110,2° Básico,A
2025,1.Marzo,10550,0.82,19,10550 Escuela Libertador General Bernardo O'Higgins,110,3° Básico,A
2025,1.Marzo,10550,0.94,21,10550 Escuela Libertador General Bernardo O'Higgins,110,4° Básico,A
2025,1.Marzo,10550,0.95,29,10550 Escuela Libertador General Bernardo O'Higgins,110,5° Básico,A
2025,1.Marzo,10550,0.96,25,10550 Escuela Libertador General Bernardo O'Higgins,110,6° Básico,A
2025,1.Marzo,10550,0.96,21,10550 Escuela Libertador General Bernardo O'Higgins,110,7° Básico,A
2025,1.Marzo,10550,0.92,27,10550 Escuela Libertador General Bernardo O'Higgins,110,8° Básico,A
2025,1.Marzo,10551,0.82,20,10551 Liceo Polivalente Lucila Godoy Alcayaga,110,8° Básico,A
2025,1.Marzo,10551,0.79,26,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,I° Medio,A
2025,1.Marzo,10551,0.84,26,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,I° Medio,B
2025,1.Marzo,10551,0.87,27,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,I° Medio,C
2025,1.Marzo,10551,0.73,23,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,II° Medio,A
2025,1.Marzo,10551,0.91,27,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,II° Medio,B
2025,1.Marzo,10551,0.77,23,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,II° Medio,C
2025,1.Marzo,10551,0.79,23,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,III° Medio,A
2025,1.Marzo,10551,0.81,24,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,III° Medio,B
2025,1.Marzo,10551,0.91,19,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,IV° Medio,A
2025,1.Marzo,10551,0.92,20,10551 Liceo Polivalente Lucila Godoy Alcayaga,310,IV° Medio,B
2025,1.Marzo,10551,0.87,27,10551 Liceo Polivalente Lucila Godoy Alcayaga,410,III° Medio,C
2025,1.Marzo,10551,0.82,25,10551 Liceo Polivalente Lucila Godoy Alcayaga,410,IV° Medio,C
2025,1.Marzo,10553,0.95,15,10553 Escuela Marcial Martinez Ferrari,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10553,0.93,9,10553 Escuela Marcial Martinez Ferrari,10,1er Nivel de Transición (Pre-kinder),B
2025,1.Marzo,10553,0.95,21,10553 Escuela Marcial Martinez Ferrari,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10553,0.92,14,10553 Escuela Marcial Martinez Ferrari,10,2do Nivel de Transición (Kinder),B
2025,1.Marzo,10553,0.91,19,10553 Escuela Marcial Martinez Ferrari,110,1° Básico,A
2025,1.Marzo,10553,0.9,18,10553 Escuela Marcial Martinez Ferrari,110,1° Básico,B
2025,1.Marzo,10553,0.95,24,10553 Escuela Marcial Martinez Ferrari,110,2° Básico,A
2025,1.Marzo,10553,0.92,19,10553 Escuela Marcial Martinez Ferrari,110,2° Básico,B
2025,1.Marzo,10553,0.94,22,10553 Escuela Marcial Martinez Ferrari,110,3° Básico,A
2025,1.Marzo,10553,0.94,23,10553 Escuela Marcial Martinez Ferrari,110,3° Básico,B
2025,1.Marzo,10553,0.96,21,10553 Escuela Marcial Martinez Ferrari,110,4° Básico,A
2025,1.Marzo,10553,0.93,18,10553 Escuela Marcial Martinez Ferrari,110,4° Básico,B
2025,1.Marzo,10553,0.96,22,10553 Escuela Marcial Martinez Ferrari,110,5° Básico,A
2025,1.Marzo,10553,0.93,23,10553 Escuela Marcial Martinez Ferrari,110,5° Básico,B
2025,1.Marzo,10553,0.95,21,10553 Escuela Marcial Martinez Ferrari,110,6° Básico,A
2025,1.Marzo,10553,0.95,26,10553 Escuela Marcial Martinez Ferrari,110,6° Básico,B
2025,1.Marzo,10553,0.92,28,10553 Escuela Marcial Martinez Ferrari,110,7° Básico,A
2025,1.Marzo,10553,0.94,27,10553 Escuela Marcial Martinez Ferrari,110,7° Básico,B
2025,1.Marzo,10553,0.93,32,10553 Escuela Marcial Martinez Ferrari,110,8° Básico,A
2025,1.Marzo,10553,0.93,32,10553 Escuela Marcial Martinez Ferrari,110,8° Básico,B
2025,1.Marzo,10554,0.87,20,10554 Escuela General Rene Schneider Chereau,10,1er Nivel de Transición (Pre-kinder),A
